product_id,name,ASIN,inventory,min_inventory,description,image,modified_by,modified_on,postage_charges,packing_charges,other_charges,web_rrp,web_pp_charge,ebay_rrp,ebay_fees,amz_rrp,amz_fees,amz_fba_fees,ean,sku,inactive_from
54,"Wooden Yarn Bowl - 7"" X 3""",,0,1,,http://artisansworld.co.uk/img/p/7/2/8/728.jpg,1,2019-02-22 16:01:01,2.82,0.25,0,27.98,3,27.98,0,27.98,0,0,7.43E+12,NC-009,2018-12-31 16:01:01
55,Shawl Pin - Steam Beech Wood,,25,1,,http://artisansworld.co.uk/img/p/7/4/2/742.jpg,1,2019-02-23 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,8.44E+12,HSPA-12,2018-12-31 16:01:01
56,Rosewood Shawl Pin - HSPA-17,,25,1,,http://artisansworld.co.uk/img/p/8/3/5/835.jpg,1,2019-02-24 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,8.44E+12,HSPA-17,2018-12-31 16:01:01
57,Rosewood Shawl Pin - HSPA-20,,23,1,,http://artisansworld.co.uk/img/p/9/1/9/919.jpg,1,2019-02-25 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,8.44E+12,HSPA-20,2018-12-31 16:01:01
58,Wooden Shawl Pin - HSPA-23,,25,1,,http://artisansworld.co.uk/img/p/8/3/4/834.jpg,1,2019-02-26 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,8.44E+12,HSPA-23,2018-12-31 16:01:01
59,Wooden Carved Shawl Pin - HSPA-24,,24,1,,http://artisansworld.co.uk/img/p/7/5/9/759.jpg,1,2019-02-27 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,8.44E+12,HSPA-24,2018-12-31 16:01:01
60,Rosewood Crochet Hooks - Set of 4,,8,1,,http://artisansworld.co.uk/img/p/7/7/6/776.jpg,1,2019-02-28 16:01:01,0.79,0.25,0,12.68,3,12.68,0,12.68,0,0,8.44E+12,SH-118,2018-12-31 16:01:01
61,Rosewood Nostepinne Centre Pull Yarn Winder,,11,1,,http://artisansworld.co.uk/img/p/8/1/5/815.jpg,1,2019-03-01 16:01:01,0.79,0.25,0,4.98,3,4.98,0,4.98,0,0,7.43E+12,SK-542,2018-12-31 16:01:01
62,Rosewood Crochet Hooks - Small | Set of 3,,10,1,,http://artisansworld.co.uk/img/p/8/1/9/819.jpg,1,2019-03-02 16:01:01,0.79,0.25,0,10.98,3,10.98,0,10.98,0,0,7.43E+12,SH-119,2018-12-31 16:01:01
63,Snake Boat,,2,1,,http://artisansworld.co.uk/img/p/8/4/6/846.jpg,1,2019-03-03 16:01:01,2.82,0.25,0,18.5,3,18.5,0,18.5,0,0,7.43E+12,BM-2104,2018-12-31 16:01:01
64,Maple Wood Nostepinne Centre Pull Yarn Winder,,10,1,,http://artisansworld.co.uk/img/p/8/4/7/847.jpg,1,2019-03-04 16:01:01,0.79,0.25,0,4.9,3,4.9,0,4.9,0,0,7.43E+12,SK-544,2018-12-31 16:01:01
65,Hexagonal Wooden Jewellery Box,,2,1,,http://artisansworld.co.uk/img/p/8/5/5/855.jpg,1,2019-03-05 16:01:01,2.82,0.25,0,11.48,3,11.48,0,11.48,0,0,7.43E+12,CK-004,2018-12-31 16:01:01
66,Vintage Pirate Style Extendable Telescope -  Nautical Gift,,1,1,,http://artisansworld.co.uk/img/p/8/5/7/857.jpg,1,2019-03-06 16:01:01,2.82,0.25,0,24.98,3,24.98,0,24.98,0,0,7.43E+12,CK-412,2018-12-31 16:01:01
67,Guitar Shaped Wooden Key Holder,,0,1,,http://artisansworld.co.uk/img/p/8/6/3/863.jpg,1,2019-03-07 16:01:01,2.82,0.25,0,17.98,3,17.98,0,17.98,0,0,7.43E+12,CK-214,2018-12-31 16:01:01
68,Dominoes Box Set - Double Six,,15,1,,http://artisansworld.co.uk/img/p/8/7/0/870.jpg,1,2019-03-08 16:01:01,2.82,0.25,0,16.88,3,16.88,0,16.88,0,0,7.43E+12,NC-009,2018-12-31 16:01:01
69,Amish Style Tabletop  Wooden Yarn Winder | Adjustable Skein Winder,,0,1,,http://artisansworld.co.uk/img/p/8/8/4/884.jpg,1,2019-03-09 16:01:01,2.82,0.25,0,22.82,3,22.82,0,22.82,0,0,7.43E+12,SH-412,2018-12-31 16:01:01
70,Umbrella Yarn Swift - Premium Range,,14,1,,http://artisansworld.co.uk/img/p/9/1/0/910.jpg,1,2019-03-10 16:01:01,2.82,0.25,0,38.42,3,38.42,0,38.42,0,0,7.43E+12,SH-414,2018-12-31 16:01:01
